x,n,AÑO,Hlx,Mlx,HDx,MDx,Dx,lx
0,1,2010,8561,8257,94,62,156,16818
0,1,2019,7787,7509,103,87,190,15296
0,1,2021,7303,7025,79,54,133,14328
1,4,2010,8467,8195,20,10,30,16662
1,4,2019,7684,7422,12,16,28,15106
1,4,2021,7224,6971,15,12,27,14195
5,5,2010,8447,8185,5,4,9,16632
5,5,2019,7672,7406,14,9,23,15078
5,5,2021,7209,6959,4,6,10,14168
10,5,2010,8442,8181,12,5,17,16623
10,5,2019,7658,7397,11,10,21,15055
10,5,2021,7205,6953,5,7,12,14158
15,5,2010,8430,8176,29,7,36,16606
15,5,2019,7647,7387,30,15,45,15034
15,5,2021,7200,6946,42,19,61,14146
20,5,2010,8401,8169,39,12,51,16570
20,5,2019,7617,7372,63,13,76,14989
20,5,2021,7158,6927,54,16,70,14085
25,5,2010,8362,8157,63,23,86,16519
25,5,2019,7554,7359,77,23,100,14913
25,5,2021,7104,6911,86,30,116,14015
30,5,2010,8299,8134,73,27,100,16433
30,5,2019,7477,7336,74,37,111,14813
30,5,2021,7018,6881,112,61,173,13899
35,5,2010,8226,8107,62,29,91,16333
35,5,2019,7403,7299,95,26,121,14702
35,5,2021,6906,6820,139,59,198,13726
40,5,2010,8164,8078,86,33,119,16242
40,5,2019,7308,7273,114,58,172,14581
40,5,2021,6767,6761,137,95,232,13528
45,5,2010,8078,8045,90,42,132,16123
45,5,2019,7194,7215,122,98,220,14409
45,5,2021,6630,6666,190,146,336,13296
50,5,2010,7988,8003,121,69,190,15991
50,5,2019,7072,7117,164,97,261,14189
50,5,2021,6440,6520,261,183,444,12960
55,5,2010,7867,7934,139,83,222,15801
55,5,2019,6908,7020,219,124,343,13928
55,5,2021,6179,6337,324,239,563,12516
60,5,2010,7728,7851,141,120,261,15579
60,5,2019,6689,6896,226,157,383,13585
60,5,2021,5855,6098,347,300,647,11953
65,5,2010,7587,7731,160,114,274,15318
65,5,2019,6463,6739,255,179,434,13202
65,5,2021,5508,5798,425,330,755,11306
70,5,2010,7427,7617,174,168,342,15044
70,5,2019,6208,6560,257,222,479,12768
70,5,2021,5083,5468,416,331,747,10551
75,5,2010,7253,7449,190,172,362,14702
75,5,2019,5951,6338,227,218,445,12289
75,5,2021,4667,5137,428,291,719,9804
80,5,2010,7063,7277,223,182,405,14340
80,5,2019,5724,6120,275,237,512,11844
80,5,2021,4239,4846,424,347,771,9085
85,5,2010,6840,7095,349,338,687,13935
85,5,2019,5449,5883,467,466,933,11332
85,5,2021,3815,4499,592,545,113,8314
